rf|a_ml_sem_ontologia,hgb|a_ml_sem_ontologia,mlp|a_ml_sem_ontologia,logreg|a_ml_sem_ontologia,rf|b_ontologia_sem_related,hgb|b_ontologia_sem_related,mlp|b_ontologia_sem_related,logreg|b_ontologia_sem_related,rf|c_so_network_proximity,hgb|c_so_network_proximity,mlp|c_so_network_proximity,logreg|c_so_network_proximity,rf|d_completo,hgb|d_completo,mlp|d_completo,logreg|d_completo,K,seed
0.5527777777777778,0.5102222222222222,0.6726666666666666,0.49288888888888893,0.538,0.5102222222222222,0.524,0.49288888888888893,0.5211111111111111,0.538,0.6231111111111111,0.4613333333333334,0.9827777777777778,0.9386666666666666,0.8971111111111111,0.8337777777777778,50,14
0.5122222222222222,0.5322222222222223,0.492,0.46355555555555555,0.5211111111111111,0.5322222222222223,0.42822222222222217,0.46355555555555555,0.538,0.54,0.4924444444444444,0.49600000000000005,1.0,1.0,0.8231111111111112,1.0,50,15
0.6556666666666666,0.5018888888888888,0.702,0.5195555555555555,0.6004444444444444,0.5018888888888888,0.47044444444444444,0.5195555555555555,0.549,0.5044444444444445,0.5757777777777778,0.5371111111111111,1.0,1.0,0.8440000000000001,1.0,50,16
0.513888888888889,0.386,0.302,0.43222222222222223,0.5572222222222223,0.386,0.5237777777777778,0.43222222222222223,0.5526666666666666,0.386,0.49533333333333335,0.4166666666666667,0.9956666666666667,0.9904444444444445,0.7562222222222222,0.8702222222222222,50,17
0.5935555555555556,0.6665555555555556,0.5524444444444444,0.4406666666666667,0.6025555555555555,0.6665555555555556,0.4415555555555556,0.4406666666666667,0.6124444444444443,0.633888888888889,0.4835555555555555,0.47444444444444445,0.9428888888888889,0.9610000000000001,0.8253333333333333,0.9288888888888889,50,18
0.49311111111111106,0.5383333333333333,0.40155555555555555,0.6162222222222222,0.49955555555555553,0.5383333333333333,0.552,0.6162222222222222,0.5147777777777778,0.5336666666666667,0.5526666666666666,0.6351111111111111,1.0,1.0,1.0,1.0,50,19
0.5001111111111111,0.5535555555555556,0.5842222222222222,0.4693333333333333,0.5485555555555556,0.5535555555555556,0.5348888888888889,0.4693333333333333,0.4816666666666667,0.5171111111111111,0.5251111111111111,0.47244444444444444,0.9513333333333334,0.9562222222222222,0.9386666666666668,0.924,50,20
0.6135555555555555,0.5526666666666666,0.44533333333333336,0.4686666666666667,0.6311111111111112,0.5526666666666666,0.49066666666666664,0.4686666666666667,0.5944444444444446,0.5386666666666666,0.494,0.4424444444444445,1.0,1.0,0.7797777777777777,0.9966666666666667,50,21
0.6814444444444445,0.5893333333333333,0.4602222222222222,0.4026666666666666,0.6667777777777777,0.5893333333333333,0.5135555555555555,0.4026666666666666,0.6481111111111111,0.5484444444444444,0.4144444444444445,0.3711111111111111,0.9867777777777778,0.9866666666666667,0.7824444444444444,0.9582222222222222,50,22
0.46199999999999997,0.40888888888888886,0.5166666666666666,0.4304444444444444,0.4312222222222222,0.40888888888888886,0.6017777777777777,0.4304444444444444,0.44777777777777783,0.42911111111111105,0.5335555555555556,0.4284444444444444,0.9504444444444444,0.9928888888888888,0.9284444444444444,0.9484444444444444,50,23
0.48455555555555563,0.5002222222222222,0.4742222222222222,0.5086666666666667,0.4613333333333333,0.5002222222222222,0.3908888888888889,0.5086666666666667,0.5306666666666667,0.5244444444444445,0.4915555555555555,0.48777777777777775,0.9451111111111112,0.9564444444444444,0.8406666666666667,0.8946666666666666,50,24
0.4892222222222223,0.5237777777777778,0.334,0.5311111111111111,0.43933333333333335,0.5237777777777778,0.5351111111111111,0.5311111111111111,0.46244444444444444,0.5377777777777778,0.5224444444444444,0.5633333333333334,0.9533333333333333,0.9862222222222222,0.8602222222222222,0.9702222222222222,50,25
0.38611111111111107,0.4442222222222222,0.3897777777777778,0.5035555555555555,0.3924444444444445,0.4442222222222222,0.6053333333333333,0.5035555555555555,0.3913333333333333,0.4493333333333333,0.6213333333333334,0.47155555555555556,0.9207777777777777,0.9135555555555556,0.8835555555555556,0.9217777777777778,50,26
0.46322222222222226,0.5428888888888889,0.4808888888888889,0.4731111111111111,0.4846666666666666,0.5428888888888889,0.4457777777777778,0.4731111111111111,0.5312222222222223,0.5760000000000001,0.4177777777777778,0.4988888888888888,0.9238888888888888,0.9277777777777777,0.7848888888888889,0.9206666666666666,50,27
0.5224444444444445,0.49755555555555553,0.47533333333333333,0.6333333333333333,0.5277777777777777,0.49755555555555553,0.48533333333333334,0.6333333333333333,0.5136666666666667,0.4953333333333333,0.4635555555555556,0.6528888888888889,0.992111111111111,0.9431111111111111,0.888888888888889,0.9757777777777779,50,28
0.5218888888888888,0.428,0.4922222222222223,0.46955555555555556,0.5462222222222223,0.428,0.5555555555555556,0.46955555555555556,0.5407777777777778,0.43,0.5355555555555556,0.45711111111111113,0.9923333333333335,0.9715555555555556,0.9362222222222223,0.9346666666666666,50,29
0.489,0.3861111111111111,0.5691111111111111,0.43533333333333324,0.544888888888889,0.3861111111111111,0.47044444444444444,0.43533333333333324,0.4738888888888889,0.42766666666666664,0.47422222222222216,0.4655555555555555,0.9607777777777777,0.9315555555555556,0.9286666666666666,0.8995555555555556,50,30
0.5022555555555556,0.5094,0.5115777777777778,0.5291666666666667,0.5081000000000001,0.5094,0.5383333333333333,0.5291666666666667,0.7158222222222222,0.7178222222222223,0.7065444444444444,0.7191555555555555,0.9758999999999999,0.9789,0.9609111111111112,0.9690222222222222,1000,1
0.4923444444444445,0.5029999999999999,0.5104777777777778,0.5100222222222222,0.49050555555555553,0.5029999999999999,0.46449999999999997,0.5100222222222222,0.6682833333333335,0.6679777777777778,0.6456999999999999,0.6796555555555555,0.9757555555555556,0.9822555555555555,0.9662777777777777,0.9666333333333333,1000,2
0.47164999999999996,0.47723333333333334,0.4500888888888889,0.5339888888888888,0.4820944444444445,0.47723333333333334,0.5272333333333333,0.5339888888888888,0.6234388888888889,0.6305888888888889,0.6327111111111112,0.6885777777777777,0.9806777777777778,0.9714555555555555,0.9404555555555555,0.9477666666666668,1000,3
0.5191166666666667,0.48940000000000006,0.4476333333333334,0.5024333333333333,0.5197666666666667,0.48940000000000006,0.49825555555555556,0.5024333333333333,0.6351055555555556,0.6251333333333333,0.6529111111111111,0.6572555555555556,0.9803277777777777,0.9861444444444444,0.9614555555555555,0.9669,1000,4
