a_ml_sem_ontologia,b_ontologia_sem_related,c_so_network_proximity,d_completo,mit_attack_cov,mit_collateral,mit_ja4_in_scope,enr_attack_cov,enr_collateral,enr_ja4_in_scope,enr_n_ja4,mit_global_collateral,benign_head_share,benign_ja4_distinct,share_ja4_attack,share_ja4_benign,ja4_overlap,alpha,stacks,adversarial,K,seed
0.49679444444444454,0.50315,0.6749777777777778,0.9834611111111111,0.0,0.394,True,0.901,0.0,True,25,1.0,0.394,108,32.468,180.666,0,1.5,25,False,1000,12
0.49802222222222226,0.4883222222222222,0.6152777777777779,0.9776611111111111,0.0,0.394,True,0.907,0.0,True,25,1.0,0.394,113,33.122,185.01,0,1.5,25,False,1000,13
0.5103777777777778,0.5046222222222223,0.6611833333333335,0.9632000000000001,0.0,0.365,True,0.908,0.0,True,25,1.0,0.365,141,33.182,166.586,0,1.5,25,False,1000,14
0.4689222222222223,0.4606777777777778,0.6674055555555556,0.9850277777777778,0.0,0.378,True,0.898,0.0,True,25,1.0,0.378,141,32.066,167.232,0,1.5,25,False,1000,15
0.524188888888889,0.5224055555555556,0.6545777777777778,0.9456944444444444,0.0,0.412,True,1.0,1.0,False,0,1.0,0.412,117,8.162,197.256,0,1.5,100,False,1000,1
0.4952388888888889,0.5012611111111112,0.6416,0.9627444444444444,0.0,0.424,True,1.0,1.0,False,0,1.0,0.424,124,8.08,205.668,0,1.5,100,False,1000,2
0.5239444444444445,0.5149055555555556,0.6727611111111113,0.9755,0.0,0.379,True,1.0,1.0,False,0,1.0,0.379,123,7.93,175.946,0,1.5,100,False,1000,3
0.5058111111111111,0.49512222222222224,0.6876944444444445,0.9645,0.0,0.363,True,1.0,1.0,False,0,1.0,0.363,127,8.502,161.434,0,1.5,100,False,1000,4
0.4923833333333333,0.4892222222222223,0.6337722222222222,0.953388888888889,0.0,0.415,True,1.0,1.0,False,0,1.0,0.415,125,8.12,196.248,0,1.5,100,False,1000,5
0.50345,0.50045,0.645411111111111,0.9557833333333334,0.0,0.385,True,1.0,1.0,False,0,1.0,0.385,127,7.856,175.188,0,1.5,100,False,1000,6
0.5250388888888889,0.5275666666666667,0.669688888888889,0.9733055555555555,0.0,0.356,True,1.0,1.0,False,0,1.0,0.356,133,8.286,158.29,0,1.5,100,False,1000,7
