alpha,stacks,adv,seed,sym_recall,sym_fpr,sym_precision,sym_f1,sym_n_ja4,rf_auc,rf_recall_fpr0,rf_recall_fpr1
2.0,25,0,8,0.888,0.0,1.0,0.940677966101695,25,0.9921666666666668,0.6766666666666666,0.8433333333333334
2.0,25,0,9,0.915,0.007,0.9924078091106291,0.9521331945889697,26,0.9971277777777777,0.82,0.93
2.0,25,0,10,0.91,0.0,1.0,0.9528795811518325,25,0.9848166666666667,0.32666666666666666,0.69
2.0,25,0,11,0.903,0.0,1.0,0.9490278507619548,25,0.9974222222222223,0.89,0.93
2.0,25,0,12,0.901,0.0,1.0,0.9479221462388217,25,0.9994,0.9366666666666666,0.9766666666666667
2.0,25,0,13,0.907,0.0,1.0,0.951232302045097,25,0.9944666666666667,0.7,0.81
2.0,25,0,14,0.908,0.0,1.0,0.9517819706498952,25,0.9947,0.8633333333333333,0.9033333333333333
2.0,25,0,15,0.898,0.0,1.0,0.946259220231823,25,0.9917777777777778,0.74,0.8133333333333334
1.5,5,1,1,0.164,0.026,0.8631578947368421,0.27563025210084036,1,0.8120111111111111,0.04,0.12
1.5,5,1,2,0.191,0.028,0.8721461187214612,0.313371616078753,1,0.8215444444444444,0.15666666666666668,0.18333333333333332
1.5,5,1,3,0.154,0.032,0.8279569892473119,0.25969645868465424,1,0.8090277777777778,0.08,0.21
1.5,5,1,4,0.188,0.038,0.831858407079646,0.3066884176182708,1,0.8035222222222222,0.02666666666666667,0.17
1.5,5,1,5,0.171,0.036,0.8260869565217391,0.2833471416735709,1,0.8003666666666666,0.08333333333333333,0.16
1.5,5,1,6,0.162,0.028,0.8526315789473684,0.27226890756302524,1,0.8032444444444444,0.12333333333333334,0.24
1.5,5,1,7,0.196,0.033,0.8558951965065502,0.3189585028478438,1,0.826888888888889,0.0,0.13666666666666666
1.5,5,1,8,0.178,0.031,0.8516746411483254,0.2944582299421009,1,0.78475,0.08666666666666667,0.14
1.5,5,1,9,0.177,0.034,0.8388625592417062,0.29232039636663915,1,0.7982499999999999,0.09,0.16
1.5,5,1,10,0.178,0.036,0.8317757009345794,0.2932454695222405,1,0.7990111111111111,0.08333333333333333,0.16333333333333333
1.5,5,1,11,0.167,0.038,0.8146341463414634,0.27717842323651454,1,0.7994666666666668,0.0,0.07
1.5,5,1,12,0.158,0.031,0.8359788359788359,0.2657695542472666,1,0.8293166666666667,0.10666666666666667,0.20333333333333334
1.5,5,1,13,0.184,0.045,0.8034934497816594,0.29943043124491453,1,0.8137833333333334,0.05,0.07
1.5,5,1,14,0.17,0.037,0.821256038647343,0.28169014084507044,1,0.7971277777777779,0.07666666666666666,0.11333333333333333
