a_ml_sem_ontologia,c_so_network_proximity,d_completo,ja4_share,jitter,seed
0.4947,0.5293222222222222,0.7758555555555555,0.25,0.5,8
0.5069666666666667,0.6133333333333334,0.8286333333333333,0.25,0.5,9
0.4907222222222223,0.5383000000000001,0.7948666666666667,0.25,0.5,10
0.5174444444444444,0.6002777777777778,0.8294,0.25,1.0,1
0.4827666666666666,0.5286222222222222,0.7699444444444444,0.25,1.0,2
0.4712666666666666,0.5786999999999999,0.8083333333333333,0.25,1.0,3
0.5116777777777778,0.610111111111111,0.8438,0.25,1.0,4
0.5044444444444445,0.6184444444444445,0.8017777777777778,0.25,1.0,5
0.48681111111111114,0.5895333333333334,0.8035111111111111,0.25,1.0,6
0.5534333333333333,0.5872222222222223,0.8282999999999999,0.25,1.0,7
0.4947,0.5293222222222222,0.7758555555555555,0.25,1.0,8
0.5069666666666667,0.6133333333333334,0.8286333333333333,0.25,1.0,9
0.4907222222222223,0.5383000000000001,0.7948666666666667,0.25,1.0,10
0.5090333333333333,0.5997555555555556,0.7646666666666666,0.0,0.0,1
0.5073,0.5487222222222221,0.7113111111111111,0.0,0.0,2
0.5008333333333332,0.597822222222222,0.7719222222222222,0.0,0.0,3
0.5041555555555556,0.5775333333333335,0.7643,0.0,0.0,4
0.49136666666666673,0.5558333333333334,0.6948111111111112,0.0,0.0,5
0.48148888888888886,0.5821333333333334,0.7144666666666667,0.0,0.0,6
0.5282555555555555,0.6015333333333334,0.7570111111111111,0.0,0.0,7
0.49509999999999993,0.5706555555555558,0.7186555555555555,0.0,0.0,8
0.5285111111111112,0.5985444444444444,0.7558333333333331,0.0,0.0,9
0.4971777777777779,0.5724222222222222,0.7282111111111111,0.0,0.0,10
0.5090333333333333,0.5997555555555556,0.7646666666666666,0.0,0.5,1
0.5073,0.5487222222222221,0.7113111111111111,0.0,0.5,2
0.5008333333333332,0.597822222222222,0.7719222222222222,0.0,0.5,3
0.5041555555555556,0.5775333333333335,0.7643,0.0,0.5,4
0.49136666666666673,0.5558333333333334,0.6948111111111112,0.0,0.5,5
0.48148888888888886,0.5821333333333334,0.7144666666666667,0.0,0.5,6
0.5282555555555555,0.6015333333333334,0.7570111111111111,0.0,0.5,7
0.49509999999999993,0.5706555555555558,0.7186555555555555,0.0,0.5,8
0.5285111111111112,0.5985444444444444,0.7558333333333331,0.0,0.5,9
0.4971777777777779,0.5724222222222222,0.7282111111111111,0.0,0.5,10
0.5090333333333333,0.5997555555555556,0.7646666666666666,0.0,1.0,1
0.5073,0.5487222222222221,0.7113111111111111,0.0,1.0,2
0.5008333333333332,0.597822222222222,0.7719222222222222,0.0,1.0,3
0.5041555555555556,0.5775333333333335,0.7643,0.0,1.0,4
0.49136666666666673,0.5558333333333334,0.6948111111111112,0.0,1.0,5
0.48148888888888886,0.5821333333333334,0.7144666666666667,0.0,1.0,6
0.5282555555555555,0.6015333333333334,0.7570111111111111,0.0,1.0,7
0.49509999999999993,0.5706555555555558,0.7186555555555555,0.0,1.0,8
0.5285111111111112,0.5985444444444444,0.7558333333333331,0.0,1.0,9
0.4971777777777779,0.5724222222222222,0.7282111111111111,0.0,1.0,10
